Parameters: 1037249 Seed: 1234
Epoch	lr		Loss(Tr)	RMSE (val)	MAE(val)
136	0.0005604	600.4349		10.6724		8.8128
137	0.0005571	511.4650		11.7771		8.9862
138	0.0005538	446.6867		10.9372		9.0292
139	0.0005506	592.6882		10.4371		8.7302
140	0.0005473	588.7166		11.3701		8.7292
141	0.0005440	509.7850		11.7196		8.7498
142	0.0005407	526.7840		11.1606		8.7816
143	0.0005375	636.0632		11.8318		8.8691
144	0.0005342	567.0415		12.5422		9.3866
145	0.0005309	446.6498		11.7759		9.2933
146	0.0005277	562.9178		11.9292		8.7907
147	0.0005244	618.0347		11.8502		8.8136
148	0.0005211	461.3197		11.2055		8.7315
149	0.0005178	341.6514		11.8976		8.7024
150	0.0005145	570.7129		11.7890		8.7446
151	0.0005113	535.0970		11.9143		8.8034
152	0.0005080	480.4175		11.3436		8.7729
153	0.0005047	468.7744		11.6666		8.7708
154	0.0005014	549.2760		11.5616		8.7627
155	0.0004981	557.8810		12.1854		8.8268
156	0.0004949	550.2461		11.5656		8.7374
157	0.0004916	580.0491		11.4305		8.7056
158	0.0004883	597.3766		11.8789		8.7494
159	0.0004850	472.8685		11.2913		8.7022
160	0.0004817	524.8846		11.6303		8.7518
161	0.0004784	483.2250		11.5239		8.7525
162	0.0004751	451.6239		11.9800		8.7652
163	0.0004718	164.6346		11.4002		8.7467
164	0.0004685	478.4867		11.8546		8.6819
165	0.0004652	438.2319		11.4318		8.7270
166	0.0004619	573.9229		11.8862		8.8185
167	0.0004586	472.1101		11.8842		9.0335
168	0.0004553	504.3573		12.3074		8.9692
169	0.0004520	515.7067		12.2181		8.7979
170	0.0004487	527.4691		11.3212		8.6743
171	0.0004454	530.4338		11.7228		8.6424
172	0.0004421	516.2760		11.4546		8.7795
173	0.0004388	444.7577		11.0647		8.6707
174	0.0004355	561.9094		11.6460		8.6812
175	0.0004322	396.0857		10.3413		8.6753
176	0.0004289	503.7862		12.0996		8.7709
177	0.0004256	547.3162		11.5695		8.9227
178	0.0004223	500.6101		11.2438		8.7201
179	0.0004189	537.9600		11.4817		8.9124
180	0.0004156	554.7956		11.5192		8.7093
181	0.0004123	489.1994		10.9447		8.8078
182	0.0004090	494.1128		12.6128		9.2293
183	0.0004057	513.0211		12.4396		9.3740
184	0.0004024	592.9632		12.5348		9.1795
185	0.0003990	466.0369		11.8307		9.1020
186	0.0003957	441.8075		11.9175		8.9663
187	0.0003924	609.9075		12.1675		8.8333
188	0.0003891	387.9664		11.1951		8.8519
189	0.0003857	505.6407		11.3278		8.9176
190	0.0003824	388.4579		12.2319		9.0821
191	0.0003791	477.2480		11.5628		8.7085
192	0.0003757	497.9719		12.1244		8.8999
193	0.0003724	515.3875		11.6617		8.9588
194	0.0003691	389.1477		10.5570		8.9235
195	0.0003657	547.9435		12.5238		9.1150
